m,watermolal,watermolar,na+molal,na+molar,cl-molal,cl-molar,molefrac ion,,,
5.8,0.782432205,0.94625686,2.14157354,2.589973473,0.328329513,0.397074727,0.08656458,12.42112653,1.904311177,23.65369009
5.85,0.780448367,0.945266349,2.165221176,2.622480621,0.327017736,0.396078555,0.08718071,12.66654388,1.913053756,24.23177934
5.9,0.77846574,0.944270147,2.189087543,2.655338455,0.325713227,0.395086464,0.087795006,12.91561651,1.921708041,24.82004409
5.95,0.77648438,0.943268326,2.213173872,2.688549655,0.324415902,0.39409839,0.088407477,13.16838454,1.930274616,25.41859841
6,0.774504341,0.942260958,2.237481397,2.722116912,0.323125677,0.393114271,0.08901813,13.42488838,1.93875406,26.02755687
6.05,0.772525674,0.941248114,2.262011357,2.756042934,0.321842471,0.392134048,0.089626974,13.68516871,1.947146952,26.64703453
6.1,0.770548432,0.940229867,2.286764993,2.790330441,0.320566207,0.391157661,0.090234017,13.94926646,1.955453864,27.277147
6.15,0.768572667,0.939206287,2.311743553,2.824982167,0.319296808,0.390185056,0.090839266,14.21722285,1.963675369,27.91801033
6.2,0.766598429,0.938177443,2.336948287,2.860000862,0.318034199,0.38921618,0.09144273,14.48907938,1.971812037,28.56974112
6.25,0.764625769,0.937143406,2.362380449,2.895389286,0.316778309,0.388250979,0.092044417,14.7648778,1.979864433,29.23245642
6.3,0.762654735,0.936104244,2.388041297,2.931150216,0.315529067,0.387289405,0.092644334,15.04466017,1.987833121,29.90627378
6.35,0.760685377,0.935060025,2.413932092,2.96728644,0.314286404,0.386331408,0.093242489,15.32846878,1.995718663,30.59131124
6.4,0.758717741,0.934010819,2.4400541,3.00380076,0.313050253,0.385376942,0.09383889,15.61634624,2.003521618,31.28768729
6.45,0.756751876,0.932956692,2.466408589,3.040695993,0.311820549,0.384425962,0.094433545,15.9083354,2.011242542,31.99552092
6.5,0.754787827,0.93189771,2.49299683,3.077974968,0.310597229,0.383478424,0.095026461,16.2044794,2.018881988,32.71493157
6.55,0.752825641,0.930833942,2.519820099,3.115640526,0.30938023,0.382534286,0.095617646,16.50482165,2.026440508,33.44603916
6.6,0.750865362,0.929765451,2.546879675,3.153695524,0.308169492,0.381593508,0.096207108,16.80940585,2.03391865,34.18896406
6.65,0.748907034,0.928692305,2.574176837,3.19214283,0.306964957,0.380656049,0.096794853,17.11827597,2.041316962,34.94382709
6.7,0.746950703,0.927614567,2.601712871,3.230985325,0.305766565,0.379721873,0.09738089,17.43147624,2.048635986,35.71074952
6.75,0.74499641,0.926532303,2.629489065,3.270225904,0.304574262,0.378790942,0.097965226,17.74905119,2.055876266,36.48985307
6.8,0.743044198,0.925445575,2.657506708,3.309867475,0.303387991,0.377863221,0.098547868,18.07104561,2.063038338,37.28125991
6.85,0.741094109,0.924354448,2.685767093,3.349912957,0.3022077,0.376938675,0.099128824,18.39750458,2.070122742,38.08509264
6.9,0.739146184,0.923258984,2.714271516,3.390365284,0.301033335,0.376017271,0.099708101,18.72847346,2.077130011,38.90147428
6.95,0.737200463,0.922159245,2.743021276,3.431227401,0.299864846,0.375098977,0.100285706,19.06399787,2.084060676,39.73052829
7,0.735256987,0.921055294,2.772017673,3.472502267,0.298702181,0.374183762,0.100861647,19.40412371,2.090915269,40.57237855
7,0.735256987,0.921055294,2.772017673,3.472502267,0.298702181,0.374183762,0.100861647,19.40412371,2.090915269,40.57237855
,,,,,,,,,,
,,,,,,,,,,
Molality of NaCl,aNa+,aCl-,aNa+aCl-,,,,,,,
6.65,17.11827597,2.041316962,34.94382709,,,,,,,
6.7,17.43147624,2.048635986,35.71074952,,,,,,,
6.75,17.74905119,2.055876266,36.48985307,,,,,,,
6.8,18.07104561,2.063038338,37.28125991,,,,,,,
6.85,18.39750458,2.070122742,38.08509264,,,,,,,
6.9,18.72847346,2.077130011,38.90147428,,,,,,,
6.95,19.06399787,2.084060676,39.73052829,,,,,,,
7,19.40412371,2.090915269,40.57237855,,,,,,,
